M_C;M_A;IS_SYM;P;T;Rho
111.092;94.981;0;40;393.15;1197.54
111.092;94.981;0;40;413.15;1185.91
111.092;94.981;0;49.99;273.15;1276.25
111.092;94.981;0;49.99;283.15;1269.42
111.092;94.981;0;49.99;293.15;1262.77
111.092;94.981;0;49.99;298.15;1259.52
111.092;94.981;0;49.99;313.15;1249.96
111.092;94.981;0;49.99;333.15;1237.5
111.092;94.981;0;49.99;353.15;1225.21
111.092;94.981;0;49.99;373.15;1213.4
111.092;94.981;0;49.99;393.15;1201.99
111.092;94.981;0;49.99;413.15;1190.69
111.092;94.981;0;59.89;273.15;1279.4
111.092;94.981;0;59.89;283.15;1272.58
111.092;94.981;0;59.89;293.15;1266.07
111.092;94.981;0;59.89;298.15;1262.81
111.092;94.981;0;59.89;313.15;1253.5
111.092;94.981;0;59.89;333.15;1241.07
111.092;94.981;0;59.89;353.15;1229.08
111.092;94.981;0;59.89;373.15;1217.48
111.092;94.981;0;59.89;393.15;1206.32
111.092;94.981;0;59.89;413.15;1195.37
111.092;111.097;0;0.1;293.15;1241.04
111.092;111.097;0;0.1;298.15;1237.6
111.092;111.097;0;0.1;303.15;1234.18
111.092;111.097;0;0.1;308.15;1230.77
111.092;111.097;0;0.1;313.15;1227.38
111.092;111.097;0;0.1;318.15;1224
111.092;111.097;0;10;293.15;1245
111.092;111.097;0;10;298.15;1241.61
111.092;111.097;0;10;303.15;1238.24
111.092;111.097;0;10;308.15;1234.89
111.092;111.097;0;10;313.15;1231.55
111.092;111.097;0;10;318.15;1228.23
111.092;111.097;0;20;293.15;1248.88
111.092;111.097;0;20;298.15;1245.54
111.092;111.097;0;20;303.15;1242.23
111.092;111.097;0;20;308.15;1238.92
111.092;111.097;0;20;313.15;1235.64
111.092;111.097;0;20;318.15;1232.37
111.092;111.097;0;30;293.15;1252.65
111.092;111.097;0;30;298.15;1249.36
111.092;111.097;0;30;303.15;1246.09
111.092;111.097;0;30;308.15;1242.84
111.092;111.097;0;30;313.15;1239.61
111.092;111.097;0;30;318.15;1236.39
111.092;111.097;0;40;293.15;1256.32
111.092;111.097;0;40;298.15;1253.08
111.092;111.097;0;40;303.15;1249.85
111.092;111.097;0;40;308.15;1246.65
111.092;111.097;0;40;313.15;1243.46
111.092;111.097;0;40;318.15;1240.29
111.092;111.097;0;50;293.15;1259.89
111.092;111.097;0;50;298.15;1256.69
111.092;111.097;0;50;303.15;1253.51
111.092;111.097;0;50;308.15;1250.35
111.092;111.097;0;50;313.15;1247.2
111.092;111.097;0;50;318.15;1244.07
111.092;111.097;0;60;293.15;1263.37
111.092;111.097;0;60;298.15;1260.21
111.092;111.097;0;60;303.15;1257.07
111.092;111.097;0;60;308.15;1253.95
111.092;111.097;0;60;313.15;1250.85
111.092;111.097;0;60;318.15;1247.76
111.092;111.097;0;70;293.15;1266.76
111.092;111.097;0;70;298.15;1263.64
111.092;111.097;0;70;303.15;1260.55
111.092;111.097;0;70;308.15;1257.46
111.092;111.097;0;70;313.15;1254.4
111.092;111.097;0;70;318.15;1251.35
111.092;111.097;0;80;293.15;1270.07
111.092;111.097;0;80;298.15;1266.99
111.092;111.097;0;80;303.15;1263.93
111.092;111.097;0;80;308.15;1260.89
111.092;111.097;0;80;313.15;1257.86
111.092;111.097;0;80;318.15;1254.85
111.092;111.097;0;90;293.15;1273.31
111.092;111.097;0;90;298.15;1270.27
111.092;111.097;0;90;303.15;1267.24
111.092;111.097;0;90;308.15;1264.23
111.092;111.097;0;90;313.15;1261.24
111.092;111.097;0;90;318.15;1258.26
111.092;111.097;0;100;293.15;1276.48
111.092;111.097;0;100;298.15;1273.47
111.092;111.097;0;100;303.15;1270.48
111.092;111.097;0;100;308.15;1267.5
111.092;111.097;0;100;313.15;1264.54
111.092;111.097;0;100;318.15;1261.6
111.092;280.146;0;0.1;288.15;1528.52
111.092;280.146;0;0.1;293.15;1523.45
111.092;280.146;0;0.1;298.15;1518.38
111.092;280.146;0;0.1;303.15;1513.34
111.092;280.146;0;0.1;308.15;1508.31
111.092;280.146;0;0.1;313.15;1503.3
111.092;280.146;0;0.1;318.15;1498.3
111.092;280.146;0;10;288.15;1535.52
111.092;280.146;0;10;293.15;1530.57
111.092;280.146;0;10;298.15;1525.63
111.092;280.146;0;10;303.15;1520.71
111.092;280.146;0;10;308.15;1515.8
111.092;280.146;0;10;313.15;1510.91
111.092;280.146;0;10;318.15;1506.04
111.092;280.146;0;20;288.15;1542.27
111.092;280.146;0;20;293.15;1537.43
111.092;280.146;0;20;298.15;1532.6
111.092;280.146;0;20;303.15;1527.79
111.092;280.146;0;20;308.15;1523
111.092;280.146;0;20;313.15;1518.22
111.092;280.146;0;20;318.15;1513.46
111.092;280.146;0;30;288.15;1548.73
111.092;280.146;0;30;293.15;1543.99
111.092;280.146;0;30;298.15;1539.26
111.092;280.146;0;30;303.15;1534.56
111.092;280.146;0;30;308.15;1529.86
111.092;280.146;0;30;313.15;1525.19
111.092;280.146;0;30;318.15;1520.53
111.092;280.146;0;40;288.15;1554.93
111.092;280.146;0;40;293.15;1550.29
111.092;280.146;0;40;298.15;1545.65
111.092;280.146;0;40;303.15;1541.04
111.092;280.146;0;40;308.15;1536.44
111.092;280.146;0;40;313.15;1531.86
111.092;280.146;0;40;318.15;1527.3
111.092;280.146;0;50;288.15;1560.91
111.092;280.146;0;50;293.15;1556.34
111.092;280.146;0;50;298.15;1551.8
111.092;280.146;0;50;303.15;1547.27
111.092;280.146;0;50;308.15;1542.76
111.092;280.146;0;50;313.15;1538.27
111.092;280.146;0;50;318.15;1533.79
111.092;280.146;0;60;288.15;1566.67
111.092;280.146;0;60;293.15;1562.19
111.092;280.146;0;60;298.15;1557.72
111.092;280.146;0;60;303.15;1553.27
111.092;280.146;0;60;308.15;1548.84
111.092;280.146;0;60;313.15;1544.43
111.092;280.146;0;60;318.15;1540.03
111.092;280.146;0;70;288.15;1572.23
111.092;280.146;0;70;293.15;1567.83
111.092;280.146;0;70;298.15;1563.44
111.092;280.146;0;70;303.15;1559.07
111.092;280.146;0;70;308.15;1554.71
111.092;280.146;0;70;313.15;1550.37
111.092;280.146;0;70;318.15;1546.05
111.092;280.146;0;80;288.15;1577.62
111.092;280.146;0;80;293.15;1573.29
111.092;280.146;0;80;298.15;1568.97
111.092;280.146;0;80;303.15;1564.67
111.092;280.146;0;80;308.15;1560.39
111.092;280.146;0;80;313.15;1556.11
111.092;280.146;0;80;318.15;1551.86
111.092;280.146;0;90;288.15;1582.85
111.092;280.146;0;90;293.15;1578.59
111.092;280.146;0;90;298.15;1574.33
111.092;280.146;0;90;303.15;1570.1
111.092;280.146;0;90;308.15;1565.88
